Assignment batch,Merge date,"Labelers (Safwat,Atish, Hasan, Emma, Chris, Kevin)",PR Id,PR Link,Issue Summary,Issue type,Broader issue type,Detailed Code Change Description,User Demographic,Buggy Lines,Fixed Lines,Notes,Include?,Disagreement?
2025,2025,"Samar,Emma",2724296470,https://github.com/WebKit/WebKit/pull/37577,WebKit could generate attributed strings off the main thread only for ranges within a single element but for multiple elements there will be performance issues,screen reader,Screen reader information,"This commit implements support for serving attributed strings off the main-thread for ranges that span multiple elements.
Similar to AXTextMarkerRange::toString(), we traverse from the object starting the range to the end, building an attributed
string as we go.

This patch also fixes a bug in the off-main-thread text marker implementation where we did not emit two newlines for
paragraph elements, and a tab for table cells as mandated by the spec",visual impairments,,,,1,
2025,2025,"Samar,Emma",1772016784,https://github.com/adaptlearning/adapt-contrib-narrative/pull/269,Next and previous buttons are read out twice,aria label,Screen reader information,Moves the button labels to <span> tags,visual impairments,,,,1,
2025,2025,"Samar,Emma",1955525987,https://github.com/nextcloud/photos/pull/2099,The element label must not appear as a descendant of the label element.,aria label,Screen reader information,Remove aria-label tags from the buttons,visual impairments,,,,1,
2025,2025,"Samar,Emma",475308251,https://github.com/cds-snc/report-a-cybercrime/pull/506,fieldsets around radio buttons and checkboxes will allow screenreaders to know what group the radio buttons or checkboxes belong to,screen reader,Screen reader information,add fieldsets around radio buttons and checkboxes,visual impairments,,,,1,
2025,2025,"Samar,Emma",436686136,https://github.com/wordpress-mobile/gutenberg-mobile/pull/925,The block should be set as selected when it's focused by the Screen Reader,screen reader,Screen reader information,Set accessibility props (onFocus property) for Heading element,visual impairments,"2a8143c1f2dbeeb618839c8a793ec22dd59de207: packages/block-library/src/heading/edit.native.js: 18-19, 93","2a8143c1f2dbeeb618839c8a793ec22dd59de207: packages/block-library/src/heading/edit.native.js: 5, 11, 20, 77-84, 101-103, 105-109",,1,
2025,2025,"Samar,Emma",1036292708,https://github.com/zooniverse/Panoptes-Front-End/pull/6036,"label subject set checkboxes in accessbility tree so that when a user clicks on the label, it can be checked/unchecked",screen reader,Screen reader information,"fixes the HTML and improves the accessibility of the Subject Set selection sub-menu/panel, in the Workflow Editor, in the Project Builder.
add label for subject set","visual impairments, motor impairments","a7b642b0c988181dde8d32625fb5bb8de9140e6e: app/pages/lab/workflow.cjsx: 577, 583-584","a7b642b0c988181dde8d32625fb5bb8de9140e6e: app/pages/lab/workflow.cjsx: 577, 583-595",,1,
2025,2025,"Samar,Emma",2904149476,https://github.com/WebKit/WebKit/pull/42112,accessibility-node-memory-management.html started timing out because the changed the timing of how the accessibility tree is updated when focus changes,screen reader,Screen reader information,"rewrites html file to a more modern style that is properly async considering
the dynamic page changes from JS it performs; only initializeSortedIDLists; rather than creating a tree and waiting for them to be synced, they initialize the isolated tree and sorted lists upon creation; onDocumentRenderTreeCreation now starts the cache-update timer if it's not active",general,"c0673b1cf7b66732ed2b9633586e35bd31f53003: LayoutTests/accessibility/accessibility-node-memory-management.html: 5, 11-13, 15, 17-19, 21-24, 26-28, 32-34, 38-39, 47-56, 58-62, 64-71, 74-75; Source/WebCore/accessibility/AXObjectCache.cpp: 2880-2888; Source/WebCore/accessibility/mac/AXObjectCacheMac.mm: 393, 664-671, 753, 758","c0673b1cf7b66732ed2b9633586e35bd31f53003: LayoutTests/accessibility/accessibility-node-memory-management.html: 5, 11-13, 15-16, 18-22, 24-34, 38-41, 45, 53-57, 59-63, 65-67, 69-72; Source/WebCore/accessibility/AXObjectCache.cpp: 2880-2884; Source/WebCore/accessibility/isolatedtree/AXIsolatedTree.cpp: 173-174, 1089-1102;
Source/WebCore/accessibility/mac/AXObjectCacheMac.mm: 393-398, 750, 752-753, 757-760, 768-774, 863-865, 874-875",,1,
2025,2025,"Samar,Emma",640485279,https://github.com/react-dates/react-dates/pull/2010,"add aria-current for ""today"" on CalendarDay to mark the current date to screen reader users",aria label,Screen reader information,"Add aria-current for ""today"" date",visual impairments,None,f74f1e38ddc3704edde7ad1daecdb267b3ebee48:src/components/CalendarDay.jsx:157; test/components/CalendarDay_spec.jsx: 57-82,,1,
04/02/2026,06/11/2026,"Safwat, Emma",65070942,https://github.com/mdo/github-buttons/pull/84,Links are announced with irrelevant description.,"aria hidden, aria label",Screen reader information,"Added blank aria label to a component, and aria-hidden=True",visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",146415785,https://github.com/zooniverse/Panoptes-Front-End/pull/2396,Darkens color of text for better readability.,color contrast,Color contrast,Changed font color for a deeper shade in css/project-page.styl.,general,,,need to discuss if user demographic should be General instead.,1,
03/10/2026,03/11/2026,"Safwat, Atish",207186014,https://github.com/Automattic/wp-calypso/pull/11368,"Text color is in low contrast gray, hard to read.",color contrast,Color contrast,Updated gray text color to a darkened gray color for better readability.,visual impairments,,,,1,
02/18/2026,03/13/2026,"Kevin, Hasan",215038367,https://github.com/zooniverse/Panoptes-Front-End/pull/3623,The survey task was not completely navigable in the UI,navigation,Keyboard navigation,"default UI focus components were added, keyboard nvigation options were added to various elements, and focus according item content (e.g., alphabetical order) were added.",motor impairments,,,,1,
04/02/2026,06/11/2026,"Safwat, Emma",220704546,https://github.com/zooniverse/Panoptes-Front-End/pull/3711,"Adds keyboard support by replacing buttons with named radio inputs, which can be controlled using the cursor keys.",navigation,Keyboard navigation,Adds support for left/right cursor keys to change slide,motor impairments,,,,1,
03/27/2026,06/08/2026,"Safwat, Emma",221466134,https://github.com/brave/browser-laptop/pull/8282,Screen readers did not announce extension names when navigating to extension toolbar buttons.,screen reader,Screen reader information,"Added l10nId and l10nArgs support to browser action buttons to pass the extension’s title into the localized button label. Added manifest message resolution for extension name, description, and browser_action.default_title fields so screen readers can announce the correct extension name when the button receives focus.",visual impairments,,,,1,
03/10/2026,03/11/2026,"Safwat, Atish",231402510,https://github.com/unl/wdntemplates/pull/1074,Alert message did not follow accessibility rules.,color contrast,Color contrast,"Increased font size, padding, and color contrast for alert message.",visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",243111616,https://github.com/Automattic/wp-calypso/pull/16257,No visible shadows on buttons when they were selected using keyboard navigation.,"navigation, border issue",Keyboard navigation,Added shadow color to selected buttons using keyboard tab button.,"visual impairments, motor impairments",,,,1,
04/30/2026,06/16/2026,"Hasan, Atish",246418887,https://github.com/Automattic/wp-calypso/pull/16705,"adding sidebar titles for teams, lists and tags for mouse over event.",screen reader,Screen reader information,"Added a title attribute to the Reader sidebar for teams, lists and tags",visual impairments,,,,1,
03/10/2026,06/04/2026,"Hasan, Safwat",249328970,https://github.com/Automattic/wp-calypso/pull/17091,"When Site block is used more widely, the two aria labels do not cover all of the possible actions",aria label,Screen reader information,"improves the title attribute. It now includes the site name: Before: ""View this site""After: ""View site bluefutontest5.wordpress.com"". Before: ""Select this site"" After: ""Select site bluefutontest5.wordpress.com"". Also uses the same values for aria-label.",visual impairments,,,,1,
03/27/2026,05/05/2026,"Safwat, Atish",254146241,https://github.com/twbs/bootstrap/pull/23755,"Improving accessibility on tables by adding captions documentation and scope=""col"" on thead th",screen reader,Screen reader information,"Adds scope=""col"" to every column-header <th> across all table examples in the Bootstrap 4.0 tables docs so assistive technologies can correctly associate header cells with their columns. ",visual impairments,,,,1,
05/06/2026,06/18/2026,"Atish, Emma",262698702,https://github.com/adaptlearning/adapt_framework/pull/1830,Moving accessibility toggle and instructions from body to navigation,"aria label, element-positioning, navigation","Keyboard navigation, Screen reader information",,"motor impairments, visual impairments",,,,1,
02/18/2026,03/04/2026,"Emma, Chris",263859759,https://github.com/adaptlearning/adapt_framework/pull/1838,refactored how aria labeled were handled to use a helper for attributes,aria label,Screen reader information,"added a global attribute _ariaLevel to resolve in all Handlebars contexts from which the a11y_attrs_heading helper is called
and added a11y_attrs_heading attribute types menu, menuItem, page, article, block, component and componentItem",visual impairments,,,,1,
04/30/2026,06/16/2026,"Hasan, Atish",302875134,https://github.com/basecamp/trix/pull/492,Adding markup for better JAWS and NVDA screenreader performance,"screen reader, aria attributes",Screen reader information,role and aria attributes added for screen readers,visual impairments,,,,1,
05/06/2026,06/19/2026,"Hasan, Safwat",306530528,https://github.com/Automattic/wp-calypso/pull/23411,,,,,,"No change in source code, just an updated url in the readme file.",,,1,
03/27/2026,05/05/2026,"Safwat, Atish",312833440,https://github.com/Automattic/wp-calypso/pull/24024,Autofocus forces screen reader to go to the middle of the form.,screen reader,Screen reader information,Removed auto-focus from isSocialSignupEnabled.,"motor impairments, visual impairments",,,,1,
02/18/2026,03/04/2026,"Emma, Chris",317674629,https://github.com/adaptlearning/adapt_framework/pull/2053,added aria-roledescription and aria-modal,aria attributes,Screen reader information,"updated notifyview with ""dialog"" for aria-roledescription and set aria-modal to true",visual impairments,,,,1,
04/02/2026,05/07/2026,"Hasan, Safwat",320086681,https://github.com/salesforce/design-system-react/pull/1347,"aria-hidden=""true"" isn't applied when there is more than one Modal. Need to use use passed-in assistiveText when there is no header","aria hidden, assistive text",Screen reader information,"Added a condition of checking custom dialog label and updates aria label with that, otherwise, falls back to ariaLabeledBy behavior that adds label when title is present.",visual impairments,,,,1,
04/02/2026,06/11/2026,"Safwat, Emma",321967871,https://github.com/maplibre/maputnik/pull/296,Did not have reduced motion support.,reduce motion,Motion sensitivity,"Added reduced motion support by adding collapse.jsx component layer, added three second throttle to enable the option seamlessly, added 0 second transition duration on layer and input css, added support in package.json.",cognitive impairments,,,,1,
03/15/2026,06/05/2026,"Emma, Safwat",321971039,https://github.com/maplibre/maputnik/pull/297,Color swatch is too small,button width,Target size,Changed color swatch width from 3 to 14,"visual impairments, general",,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",321982888,https://github.com/maplibre/maputnik/pull/298,Buttons lacked accessibility,"button interaction, keyboard navigation",Keyboard navigation,Changed from links <a/> without href to proper buttons so they are keyboard accessible,"visual impairments, motor impairments",,,,1,
03/15/2026,03/26/2026,"Safwat, Chris",326030505,https://github.com/adaptlearning/adapt_framework/pull/2095,tabindex values reset instead of restoring value,navigation,Keyboard navigation,restores the correct tabindex and the correct aria-hidden state,"visual impairments, motor impairments",,,,1,
03/10/2026,06/04/2026,"Hasan, Safwat",326544406,https://github.com/adaptlearning/adapt_framework/pull/2105,Need for aria-live instead of augmenting alert and selected messages,"screen reader, aria attributes",Screen reader information,"Removes $.a11y_alert and $.fn.a11y_selected and directs developers to use aria-live instead. These elements no longer create hidden alert/selected elements or manage focus/announcements; and instead, log removal warnings and return unchanged.",visual impairments,,,,1,
03/10/2026,05/21/2026,"Chris, Emma",327259476,https://github.com/adaptlearning/adapt_framework/pull/2108,Pop down focus element should be defined for some elements.,focus element,Focus management,preventDefault() is called onCloseClicked event and hideDrawer() called onCloseDrawer event. Added activeElement as argument to hideDrawer(). Changed popupClosed() to return focus or next element if an element is passed as argument or if a11y popDown() is callable.,"motor impairments, visual impairments",,,,1,
04/02/2026,05/07/2026,"Hasan, Safwat",327797446,https://github.com/adaptlearning/adapt_framework/pull/2112,Currently it's very difficult to ascertain completion from headers alone. Being able to navigate by header with extra information on completeness will allow faster access using accessible tech.,navigation,Keyboard navigation,added completion status to headers,motor impairments,,,,1,
04/02/2026,05/07/2026,"Hasan, Safwat",327801422,https://github.com/adaptlearning/adapt_framework/pull/2114,"Incorrect ARIA correction logic, removed specified roles and labels.",aria label,Screen reader information,"Removed incorrect ARIA label correction behavior that converts aria labels into span tags and stripped specified role, aria-label, tabindex, and aria-hidden attributes.",visual impairments,,,,1,
04/30/2026,06/16/2026,"Hasan, Atish",328812522,https://github.com/maplibre/maputnik/pull/313,Adding keyboard shortcuts to the editor,keyboard-navigation,Keyboard navigation,<a> replaced with button and tabIndex added to FileReaderInput,motor impairments,,,,1,
03/10/2026,03/11/2026,"Safwat, Atish",338745577,https://github.com/adaptlearning/adapt_framework/pull/2169,Change scrolling from document to iframe container,screen reader,Screen reader information,Introduces a new optional scrolling container mode that confines page scrolling to a controlled #app div. It also improves focus management by replacing a11y_focus() with focusNext() after scroll animations,"motor impairments, visual impairments",,,,1,
03/10/2026,05/21/2026,"Chris, Emma",346233330,https://github.com/adaptlearning/adapt-contrib-narrative/pull/183,fixed accessibility issue related to component descriptions and use of a11y features,screen reader,Screen reader information,"Made sure focus behaviour only happens after initial render, Shortened and fixed component description
Removed role=""button"", Removed a11y_text, Hidden image in place of label representation, Used a11y_heading_attrs",visual impairments,,,,1,
02/18/2026,02/25/2026,"Atish, Safwat",364082896,https://github.com/adaptlearning/adapt_framework/pull/2235,"Ensures that clicking focusable elements actually assigns focus to them, and stop making non-focusable things focusable.","screen reader, navigation","Keyboard navigation, Screen reader information",Rewrites the click handler to stop forcing focus onto non-focusable elements and instead find the nearest focusable ancestor to assign focus to,"motor impairments, visual impairments",,,,1,
03/27/2026,04/23/2026,"Hasan, Chris",387618331,https://github.com/salesforce/design-system-react/pull/1669,"Issues related to focus order (No initial focus on any button when entering dialog box, when tabbing to Default, the focus goes to the second color, not transparent), alt-text (no alt text reads on Close button , transparent tab not described), Inconsistent use of arrows to select hue base.","screen reader, assistive text",Screen reader information,"Added updated description: ""Saturation: 0%. Brightness: 11%"". Updated text for transparent swatch to read ""transparent"" when it's empty string. Added transparent swatch to all examples and put it at the end.",visual impairments,,,,1,
04/02/2026,05/20/2026,"Atish, Chris",418508528,https://github.com/Automattic/wp-calypso/pull/31291,Insufficient text contrast,color contrast,Color contrast,Increase text contrast,visual impairments,,,,1,
02/18/2026,03/04/2026,"Emma, Chris",428708468,https://github.com/zooniverse/Panoptes-Front-End/pull/5313,Search input is not automatically focused upon opening,focus element,Focus management,added autoFocus and modalFocus to collection manager and disable a button when there is no collection,"visual impairments, motor impairments",,,,1,
04/30/2026,06/15/2026,"Safwat, Emma",429736244,https://github.com/zooniverse/front-end-monorepo/pull/655,Modal titles use an incorrect heading level,screen reader,Screen reader information,Changed const Heading = styled.h5` to h2.,visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",430915513,https://github.com/zooniverse/front-end-monorepo/pull/670,links to unordered list for better screenreader nagivation,screen reader,Screen reader information,changed links in footer to an unordered list,visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",435754498,https://github.com/wordpress-mobile/gutenberg-mobile/pull/916,Unfocused post title was not properly announced by screen readers.,screen reader,Screen reader information,Wrapped the post title container in an accessible view and added a dynamic accessibilityLabel that announces “Post title. Empty” when no text is present and “Post title. [title text]” when content exists.,visual impairments,,,,1,
03/03/2026,03/04/2026,"Safwat, Atish",436265119,https://github.com/wordpress-mobile/gutenberg-mobile/pull/923,Empty paragraph blocks are not accessible to screen-readers.,screen reader,Screen reader information,Improve talkback options by adding accessibility labels to empty paragraphs.,visual impairments,,,,1,
04/02/2026,06/11/2026,"Safwat, Emma",444732455,https://github.com/govau/design-system-site/pull/550,Tabs are not accessible via keyboard.,navigation,Keyboard navigation,"IE8 compliant polyfill for next element sibling, delete .au-link-list, add setAttribute, 
Add event for left and right key arrow press on tabs",motor impairments,,,,1,
05/06/2026,06/19/2026,"Hasan, Safwat",461138883,https://github.com/Automattic/wp-calypso/pull/34317,Text is of low contrast color compared to background.,color contrast,Color contrast,Changed color: var( --color-white ); to color: var( --color-text ); in style.scss.,visual impairments,,,,1,
05/06/2026,06/18/2026,"Atish, Emma",461626704,https://github.com/unl/wdntemplates/pull/1329,Adding ARIA labels to footer lists,aria attributes,Screen reader information,aria-labelledby added to ul,visual impairments,,,,1,
02/18/2026,02/25/2026,"Atish, Safwat",462831247,https://github.com/unl/wdntemplates/pull/1331,List items don't get announced by safari + voiceover,screen reader,Screen reader information,Added a list marker so voiceover announces the list items.,visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",470128483,https://github.com/govau/design-system-site/pull/628,incorrect usage of aria-selected,screen reader,Screen reader information,set aria-selected to false instead of removing aria-selected from the element,visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",474269658,https://github.com/topcoder-platform/community-app/pull/3158,Some links info popup can't be accessed using tab key.,navigation,Keyboard navigation,Added aria-describedBy attribute value for tooltip components like review-tip and approval-tip.,"motor impairments, visual impairments",,,,1,
02/18/2026,03/13/2026,"Kevin, Hasan",474696818,https://github.com/topcoder-platform/community-app/pull/3165,Color background/foreground makes it difficult for low-vision users to use.,color contrast,Color contrast,Updated colors of ui components to improve contrast.,visual impairments,,,,1,
04/02/2026,05/20/2026,"Atish, Chris",484009799,https://github.com/ucfopen/Obojobo/pull/951,Pressing Enter to activate a button that opens SimpleDialog immediately closes it,keyboard-navigation,Keyboard navigation,Delete 'keyup' event listener,"motor impairments, general",,,,1,
04/30/2026,06/16/2026,"Hasan, Atish",487817555,https://github.com/topcoder-platform/community-app/pull/3275,User menu lacks accessibility and proper navigation.,"screen reader, navigation","Keyboard navigation, Screen reader information",Added role and tabIndex for usermenuHeader.,"visual impairments, motor impairments",,,,1,
02/18/2026,03/04/2026,"Emma, Chris",498806617,https://github.com/adaptlearning/adapt-contrib-hotgraphic/pull/181,double click issue,navigation,Keyboard navigation,removed preventDefault from hotgraphicPopupView,general,,,,1,
03/10/2026,05/21/2026,"Chris, Emma",499163263,https://github.com/govau/design-system-site/pull/695,Color contrast link's against background was not following WCAG guidelines.,color contrast,Color contrast,Darkened foreground by 1% for active trail and lightened background by 1% for accordion body wrapper.,visual impairments,,,,1,
04/30/2026,05/05/2026,"Safwat, Chris",503646332,https://github.com/DDDEastMidlandsLimited/dddem-web/pull/100,Some icons did not contain aria-labels.,"aria label, screen reader",Screen reader information,Added aria-label attribute to icons.,visual impairments,,,,1,
05/06/2026,05/13/2026,"Safwat, Chris",508371430,https://github.com/teacherfund/TeacherFund_next/pull/155,Email input was not implemented as required.,screen reader,Screen reader information,Added required attribute to email input and removed aria-required=True.,visual impairments,,,,1,
04/02/2026,05/07/2026,"Hasan, Safwat",557328035,https://github.com/City-of-Helsinki/servicemap-ui/pull/269,User cannot navigate search pages's settings menu.,navigation,Keyboard navigation,"Added button base component, included the typography component within it and removed h3 as it was previously used.",motor impairments,,,,1,
03/27/2026,05/05/2026,"Safwat, Atish",579637170,https://github.com/cylc/cylc-ui/pull/425,Fixing low-contrast at-symbol flagged by WAVE on landing page,color contrast,Color contrast,"Removes the dark prop from the material Card header in favor of a targeted text--white class, and drops the hardcoded mid-grey color on .c-environment-info so it inherits a higher-contrast default. ",visual impairments,,,,1,
03/10/2026,05/21/2026,"Chris, Emma",580066898,https://github.com/twbs/bootstrap/pull/30389,"Links were not underlined, therefore hard to find.",,Text presentation,Added underline to text decoration in scss files.,"general, visual impairments",,,,1,
03/27/2026,06/08/2026,"Safwat, Emma",610713911,https://github.com/mdo/github-buttons/pull/148,Redundant iframe title caused repetitive screen-reader announcements when navigating embedded content.,screen reader,Screen reader information,Removed redundant text from the iframe title attribute value.,visual impairments,,,,1,
04/02/2026,05/07/2026,"Hasan, Safwat",611228683,https://github.com/UKHSA-Internal/coronavirus-dashboard/pull/142,"Map canvas default label (""Map"") was not descriptive enough.",aria label,Screen reader information,"Accessed the Mapbox-generated <canvas> element using getCanvas() after map initialization and overridden its default aria-label (""Map"") with a descriptive label.",visual impairments,,,,1,
03/15/2026,03/26/2026,"Safwat, Chris",612898346,https://github.com/UKHSA-Internal/coronavirus-dashboard/pull/156,"No ARIA landmarks used in webpage, and aria label of a specific map fails to describe the type of map it is.","screen reader, aria label",Screen reader information,"Adds role=""main"" to several javascript files (about.js, accessibility.js, etc.) and a descriptive aria label to map.js to make screen readers more effective.",visual impairments,,,,1,
05/06/2026,05/13/2026,"Safwat, Chris",613653257,https://github.com/twbs/bootstrap/pull/30755,Modal dialog accessibility issues occurs for incorrect use of document role.,screen reader,Screen reader information,"Removed role=""document"" for modal dialog.",visual impairments,,,,1,
03/03/2026,05/22/2026,"Kevin, Chris",644195511,https://github.com/GoogleForCreators/web-stories-wp/pull/2685,add tooltip text,assistive text,Screen reader information,added tooltip text to gridview and listview and updated aria-labels to be consistent,"visual impairments, general",,,,1,
02/18/2026,03/13/2026,"Kevin, Hasan",708331025,https://github.com/GoogleForCreators/web-stories-wp/pull/4677,Missing aria labels and missing keyboard navigation for webpage UI,"navigation, aria label","Keyboard navigation, Screen reader information","Added aria labels, added additional keyboard commands for actions","visual impairments, motor impairments",,,,1,
03/03/2026,03/04/2026,"Safwat, Atish",714819179,https://github.com/twbs/bootstrap/pull/31839,The new info badge doesn't provide sufficient colour contrast per AA guidelines in the V5 Alpha 2,color contrast,Color contrast,"Four documentation markdown files — badge, card, color, and utilities/colors pages — all using the same template pattern. The fix is identical in each: extend the condition if or (eq .name ""light"") (eq .name ""warning"") to also include (eq .name ""info"").",visual impairments,,,,1,
02/18/2026,02/25/2026,"Atish, Safwat",717315360,https://github.com/CollaboraOnline/online/pull/219,Generated buttons do not have alt-text as attributes,alt text missing,Screen reader information,Set alt attributes to button ID.,visual impairments,,,,1,
03/10/2026,05/21/2026,"Chris, Emma",730681462,https://github.com/dbt-labs/docs.getdbt.com/pull/436,Color contrast for caution box and its text is too low. ,color contrast,Color contrast,Changed background color for the caution box.,"general, visual impairments",,,,1,
03/15/2026,04/01/2026,"Atish, Hasan",757702654,https://github.com/open-sdg/open-sdg/pull/1003,"Form fields lack proper labels, affecting accessibility (name, role, value).
Tables cause horizontal scrolling when the page is magnified.
Certain interactive elements (e.g., color input) are not properly recognized by screen readers.
Some buttons are not keyboard accessible and lack state information (on/off) for assistive technologies.
Dynamic updates (e.g., counters, search results) are not announced to screen readers.","screen reader, navigation","Keyboard navigation, Screen reader information","Replace table layouts with vertically stacked fields.
Remove Markdown editor, using plain text areas instead.
Add labels to integer fields (e.g., “Goal color number”).
Adds message to screen readers when links open in a new tab.
Use a button for the search filter.
Provide screen reader status updates for search filter results.","visual impairments, motor impairments",,,,1,
03/15/2026,04/01/2026,"Atish, Hasan",760103972,https://github.com/COVID19Tracking/website/pull/1662,Converting toggles to radio buttons,navigation,Keyboard navigation,"The old Toggle component used a <div role=""switch""> with <span> children — not keyboard-navigable as individual options. The new RadioToggle replaces it with a <div role=""radiogroup""> containing individual <button role=""radio""> elements, each with aria-checked.",motor impairments,,,,1,
03/27/2026,05/05/2026,"Safwat, Atish",778826789,https://github.com/GoogleForCreators/web-stories-wp/pull/5828,Using aria-label for PanelTitle,aria label,Screen reader information,Separates the visible panel-title content from the toggle button's accessible name by introducing a dedicated ariaLabel prop on PanelTitle and SimplePanel,visual impairments,,,,1,
02/18/2026,02/25/2026,"Atish, Safwat",781469900,https://github.com/justeattakeaway/fozzie-components/pull/572,Some accessibility tests are not automated. automate-accessibility-test,,,Updated registration and header with accessibility test files and added accessibility tests to config files.,general,,,Not user facing,1,
02/18/2026,03/04/2026,"Emma, Chris",781905397,https://github.com/City-of-Helsinki/servicemap-ui/pull/560,Added aria hidden to map button,"screen reader, aria hidden",Screen reader information,added aria-hidden to SMButton,visual impairments,,,,1,
02/18/2026,02/25/2026,"Atish, Safwat",792188717,https://github.com/Automattic/wp-calypso/pull/49202,Author Selector does not show up in onKeyDown and grid icon is too small,"navigation, icon issue",Keyboard navigation,"Add keyboard accessibility to author selector toggle, span role is changed to button so that this span behaves as an interactive button and increase icon size.","visual impairments, motor impairments",,,,1,
03/03/2026,04/09/2026,"Emma, Hasan",795221767,https://github.com/ONSdigital/design-system/pull/1331,DAC review issue. Add context to autosuggest results by adding aria-labelledby with the label id provided as the value.,aria label,Screen reader information,"added aria-describedby to results <ul>, add label id",visual impairments,,,,1,
03/27/2026,06/08/2026,"Safwat, Emma",798401620,https://github.com/ONSdigital/design-system/pull/1343,No skip to content link in the terms of conditions page. ,navigation,Keyboard navigation,Added skip to main if content link has length and added skipLink to index.njk for toc-single and toc-multiple components.,"general, motor impairments",,,,1,
